step:0/3125 val_loss:10.82585 train_time:0.000s step_avg:nanms
step:125/3125 val_loss:4.79236 train_time:176.430s step_avg:1411.44ms
step:250/3125 val_loss:4.13224 train_time:331.169s step_avg:1237.92ms
step:375/3125 val_loss:3.95604 train_time:485.715s step_avg:1236.36ms
step:500/3125 val_loss:3.85895 train_time:641.382s step_avg:1245.34ms
step:625/3125 val_loss:3.79129 train_time:795.926s step_avg:1236.35ms
step:750/3125 val_loss:3.74723 train_time:950.407s step_avg:1235.84ms
step:875/3125 val_loss:3.70245 train_time:1104.898s step_avg:1235.93ms
step:1000/3125 val_loss:3.66237 train_time:1259.439s step_avg:1236.33ms
step:1125/3125 val_loss:3.63542 train_time:1413.891s step_avg:1235.61ms
step:1250/3125 val_loss:3.60355 train_time:1569.359s step_avg:1243.74ms
step:1375/3125 val_loss:3.57725 train_time:1723.846s step_avg:1235.90ms
step:1500/3125 val_loss:3.54559 train_time:1878.338s step_avg:1235.94ms
step:1625/3125 val_loss:3.52253 train_time:2032.809s step_avg:1235.77ms
step:1750/3125 val_loss:3.49676 train_time:2187.264s step_avg:1235.63ms
step:1875/3125 val_loss:3.47300 train_time:2341.739s step_avg:1235.81ms
step:2000/3125 val_loss:3.44722 train_time:2496.218s step_avg:1235.83ms
step:2125/3125 val_loss:3.42160 train_time:2652.804s step_avg:1252.69ms
step:2250/3125 val_loss:3.39661 train_time:2807.245s step_avg:1235.53ms
step:2375/3125 val_loss:3.37350 train_time:2961.714s step_avg:1235.75ms
step:2500/3125 val_loss:3.35077 train_time:3119.919s step_avg:1265.64ms
step:2625/3125 val_loss:3.32929 train_time:3274.361s step_avg:1235.53ms
step:2750/3125 val_loss:3.30904 train_time:3428.824s step_avg:1235.71ms
step:2825/3125 val_loss:3.29799 train_time:3521.493s step_avg:1235.58ms
step:2850/3125 val_loss:3.29472 train_time:3552.416s step_avg:1236.92ms
step:2875/3125 val_loss:3.29162 train_time:3583.727s step_avg:1252.43ms
step:2900/3125 val_loss:3.28844 train_time:3614.629s step_avg:1236.07ms
step:2925/3125 val_loss:3.28513 train_time:3645.524s step_avg:1235.82ms
step:2950/3125 val_loss:3.28246 train_time:3676.427s step_avg:1236.13ms
step:2975/3125 val_loss:3.27981 train_time:3707.325s step_avg:1235.91ms
step:3000/3125 val_loss:3.27733 train_time:3738.218s step_avg:1235.70ms
step:3025/3125 val_loss:3.27478 train_time:3769.114s step_avg:1235.84ms
step:3050/3125 val_loss:3.27252 train_time:3800.022s step_avg:1236.33ms
step:3075/3125 val_loss:3.27078 train_time:3830.912s step_avg:1235.60ms
step:3100/3125 val_loss:3.26931 train_time:3861.806s step_avg:1235.77ms
step:3125/3125 val_loss:3.26821 train_time:3892.701s step_avg:1235.78ms
